model,category,value,n,pct_of_regressions
deepseek-coder:6.7b,change_complexity,medium_4_8_lines,3,3.4482758620689653
deepseek-coder:6.7b,change_complexity,small_2_3_lines,8,9.195402298850574
deepseek-coder:6.7b,change_complexity,tiny_1_line,76,87.35632183908046
deepseek-coder:6.7b,changed_line_relation,no_change_from_old,1,1.1494252873563218
deepseek-coder:6.7b,changed_line_relation,over_edit_superset_of_gold_lines,45,51.724137931034484
deepseek-coder:6.7b,changed_line_relation,partial_overlap_wrong_or_missing_lines,1,1.1494252873563218
deepseek-coder:6.7b,changed_line_relation,right_location_wrong_content,39,44.827586206896555
deepseek-coder:6.7b,changed_line_relation,wrong_changed_lines,1,1.1494252873563218
deepseek-coder:6.7b,gold_location_f1_bin,high_location_f1,3,3.4482758620689653
deepseek-coder:6.7b,gold_location_f1_bin,low_location_f1,13,14.942528735632184
deepseek-coder:6.7b,gold_location_f1_bin,medium_location_f1,30,34.48275862068966
deepseek-coder:6.7b,gold_location_f1_bin,perfect_location_f1,39,44.827586206896555
deepseek-coder:6.7b,gold_location_f1_bin,zero_location_f1,2,2.2988505747126435
deepseek-coder:6.7b,gold_output_warning,extracted_from_code_fence,86,98.85057471264368
deepseek-coder:6.7b,gold_output_warning,no_code_fence_used_raw_text,1,1.1494252873563218
deepseek-coder:6.7b,language,c,2,2.2988505747126435
deepseek-coder:6.7b,language,cpp,1,1.1494252873563218
deepseek-coder:6.7b,language,csharp,7,8.045977011494253
deepseek-coder:6.7b,language,go,18,20.689655172413794
deepseek-coder:6.7b,language,java,3,3.4482758620689653
deepseek-coder:6.7b,language,javascript,5,5.747126436781609
deepseek-coder:6.7b,language,kotlin,11,12.64367816091954
deepseek-coder:6.7b,language,perl,2,2.2988505747126435
deepseek-coder:6.7b,language,python,19,21.839080459770116
deepseek-coder:6.7b,language,r,2,2.2988505747126435
deepseek-coder:6.7b,language,ruby,7,8.045977011494253
deepseek-coder:6.7b,language,scala,5,5.747126436781609
deepseek-coder:6.7b,language,swift,5,5.747126436781609
deepseek-coder:6.7b,location_delta_bin,location_improved,1,1.1494252873563218
deepseek-coder:6.7b,location_delta_bin,location_unchanged,44,50.57471264367816
deepseek-coder:6.7b,location_delta_bin,location_worsened,42,48.275862068965516
deepseek-coder:6.7b,prediction_length_bin,longer_1.2x_1.5x,3,3.4482758620689653
deepseek-coder:6.7b,prediction_length_bin,much_longer_gt_1.5x,1,1.1494252873563218
deepseek-coder:6.7b,prediction_length_bin,shorter_0.5x_0.8x,2,2.2988505747126435
deepseek-coder:6.7b,prediction_length_bin,similar_0.8x_1.2x,81,93.10344827586206
qwen2.5-coder:7b,change_complexity,large_9plus_lines,4,0.4287245444801715
qwen2.5-coder:7b,change_complexity,medium_4_8_lines,21,2.2508038585209005
qwen2.5-coder:7b,change_complexity,small_2_3_lines,96,10.289389067524116
qwen2.5-coder:7b,change_complexity,tiny_1_line,812,87.03108252947482
qwen2.5-coder:7b,changed_line_relation,no_change_from_old,5,0.5359056806002144
qwen2.5-coder:7b,changed_line_relation,over_edit_superset_of_gold_lines,298,31.939978563772776
qwen2.5-coder:7b,changed_line_relation,partial_overlap_wrong_or_missing_lines,9,0.9646302250803859
qwen2.5-coder:7b,changed_line_relation,right_location_wrong_content,611,65.48767416934619
qwen2.5-coder:7b,changed_line_relation,under_edit_subset_of_gold_lines,8,0.857449088960343
qwen2.5-coder:7b,changed_line_relation,wrong_changed_lines,2,0.21436227224008575
qwen2.5-coder:7b,gold_location_f1_bin,high_location_f1,27,2.8938906752411575
qwen2.5-coder:7b,gold_location_f1_bin,low_location_f1,72,7.717041800643087
qwen2.5-coder:7b,gold_location_f1_bin,medium_location_f1,216,23.15112540192926
qwen2.5-coder:7b,gold_location_f1_bin,perfect_location_f1,611,65.48767416934619
qwen2.5-coder:7b,gold_location_f1_bin,zero_location_f1,7,0.7502679528403001
qwen2.5-coder:7b,gold_output_warning,extracted_from_code_fence,933,100.0
qwen2.5-coder:7b,language,c,28,3.0010718113612005
qwen2.5-coder:7b,language,cpp,43,4.608788853161844
qwen2.5-coder:7b,language,csharp,46,4.930332261521972
qwen2.5-coder:7b,language,go,148,15.862808145766346
qwen2.5-coder:7b,language,java,112,12.004287245444802
qwen2.5-coder:7b,language,javascript,24,2.572347266881029
qwen2.5-coder:7b,language,kotlin,106,11.361200428724544
qwen2.5-coder:7b,language,objective-c,3,0.3215434083601286
qwen2.5-coder:7b,language,perl,9,0.9646302250803859
qwen2.5-coder:7b,language,php,41,4.394426580921758
qwen2.5-coder:7b,language,python,156,16.720257234726688
qwen2.5-coder:7b,language,r,70,7.502679528403001
qwen2.5-coder:7b,language,ruby,31,3.322615219721329
qwen2.5-coder:7b,language,scala,69,7.395498392282958
qwen2.5-coder:7b,language,sql,3,0.3215434083601286
qwen2.5-coder:7b,language,swift,44,4.715969989281886
qwen2.5-coder:7b,location_delta_bin,location_improved,17,1.8220793140407288
qwen2.5-coder:7b,location_delta_bin,location_unchanged,754,80.81457663451232
qwen2.5-coder:7b,location_delta_bin,location_worsened,162,17.363344051446944
qwen2.5-coder:7b,prediction_length_bin,longer_1.2x_1.5x,46,4.930332261521972
qwen2.5-coder:7b,prediction_length_bin,much_longer_gt_1.5x,6,0.6430868167202572
qwen2.5-coder:7b,prediction_length_bin,much_shorter_lt_0.5x,24,2.572347266881029
qwen2.5-coder:7b,prediction_length_bin,shorter_0.5x_0.8x,17,1.8220793140407288
qwen2.5-coder:7b,prediction_length_bin,similar_0.8x_1.2x,840,90.03215434083602
