model,condition,example_id,raw_output_len_chars,extracted_code_len_chars,flags,warning,error
qwen2.5-coder:7b,no_review,crn-006057,704,704,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-010721,28,14,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-008584,24,14,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-001518,288,270,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-004812,15,3,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-002282,268,232,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-012164,31,17,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-006105,1462,1461,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-014606,429,429,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-011998,1846,1846,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-002283,268,232,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-006911,265,265,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-013319,1097,1097,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-006104,1462,1461,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-007541,29,15,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-001561,30,17,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-001807,444,444,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-004177,1727,1727,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-004181,135,135,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-009238,22,12,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-012722,185,185,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-003992,426,426,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-002350,342,326,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-014770,387,370,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-011997,1846,1846,unclosed_code_fence;near_num_predict_char_risk,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-013150,1329,1329,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-008848,848,848,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-000309,828,828,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-007967,413,252,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-005894,22,12,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-011482,425,411,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-001517,288,270,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-013151,1329,1329,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-014646,340,108,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-010891,294,294,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,no_review,crn-001693,208,174,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,no_review,crn-002663,360,329,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-001834,318,318,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-006057,709,709,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-013404,510,68,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-003817,71,71,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-001159,530,60,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-007011,1834,1824,near_num_predict_char_risk,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-001518,298,280,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-001217,384,250,unclosed_code_fence,multiple_code_fences_used_longest,
qwen2.5-coder:7b,direct,crn-002282,268,232,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-006105,1462,1461,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-014606,429,429,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-002283,269,233,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-011116,107,107,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-013319,1097,1097,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-006104,1462,1461,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-004177,1730,1730,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-004181,199,199,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-004620,260,260,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-000482,162,162,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-001780,25,12,very_short_extracted_code,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-002350,384,368,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-013150,1299,1299,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-008848,831,831,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-001168,214,57,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-000309,565,565,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-014181,227,227,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-001517,301,283,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-013151,1299,1299,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-012819,372,356,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-010891,301,301,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-001693,243,204,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,direct,crn-002429,315,315,unclosed_code_fence,no_code_fence_used_raw_text,
qwen2.5-coder:7b,direct,crn-002663,341,310,unclosed_code_fence,extracted_from_code_fence,
qwen2.5-coder:7b,gold_location,crn-002590,26,17,very_short_extracted_code,extracted_from_code_fence,
