case_group,id,language,review,old,new,direct_prediction,gold_location_prediction,direct_location_overlap_f1,gold_location_overlap_f1,manual_label,notes
direct_fail_gold_location_fail,crn-004543,java,"One formatted error message should be enough. There's no need for 4 separate log entries. Having 4 will age out other recently seen errors on the monitor page that shows recent logs faster than necessary, and in a multi-threaded system, these can be split up by logs from other threads, making it harder to parse and display these using automated tooling."," protected void ensureAllTablesChecked(Set<TableId> tableIdsBefore, Set<TableId>
     tableIdsMustHaveSeen.removeAll(tableIdsSeen);
 
     // If anything is left then we missed a table and may not have removed rfiles references
-    // from the candidates list that are acutally still in use, which would
     // result in the rfiles being deleted in the next step of the GC process
     if (!tableIdsMustHaveSeen.isEmpty()) {
-      log.error(""TableIDs before: "" + tableIdsBefore);
-      log.error(""TableIDs after : "" + tableIdsAfter);
-      log.error(""TableIDs seen  : "" + tableIdsSeen);
-      log.error(""TableIDs that should have been seen but were not: "" + tableIdsMustHaveSeen);
       // maybe a scan failed?
-      throw new IllegalStateException(
-          ""Saw table IDs in ZK that were not in metadata table:  "" + tableIdsMustHaveSeen);
     }
   }
 "," protected void ensureAllTablesChecked(Set<TableId> tableIdsBefore, Set<TableId>
     tableIdsMustHaveSeen.removeAll(tableIdsSeen);
 
     // If anything is left then we missed a table and may not have removed rfiles references
+    // from the candidates list that are actually still in use, which would
     // result in the rfiles being deleted in the next step of the GC process
     if (!tableIdsMustHaveSeen.isEmpty()) {
       // maybe a scan failed?
+      throw new IllegalStateException(""Saw table IDs in ZK that were not in metadata table:  ""
+          + tableIdsMustHaveSeen + "" TableIDs before GC: "" + tableIdsBefore
+          + "", TableIDs during GC: "" + tableIdsSeen + "", TableIDs after GC: "" + tableIdsAfter);
     }
   }
 ","```java
protected void ensureAllTablesChecked(Set<TableId> tableIdsBefore, Set<TableId>
    tableIdsMustHaveSeen.removeAll(tableIdsSeen);

    // If anything is left then we missed a table and may not have removed rfiles references
    // from the candidates list that are actually still in use, which would result in the rfiles
    // being deleted in the next step of the GC process
    if (!tableIdsMustHaveSeen.isEmpty()) {
      log.error(""Missed TableIDs: "" + tableIdsMustHaveSeen);
      throw new IllegalStateException(
          ""Saw table IDs in ZK that were not in metadata table:  "" + tableIdsMustHaveSeen);
    }
  }
```","```java
 protected void ensureAllTablesChecked(Set<TableId> tableIdsBefore, Set<TableId>
     tableIdsMustHaveSeen.removeAll(tableIdsSeen);
 
     // If anything is left then we missed a table and may not have removed rfiles references
     if (!tableIdsMustHaveSeen.isEmpty()) {
       log.error(""Missed table IDs: "" + tableIdsMustHaveSeen);
       throw new IllegalStateException(
           ""Saw table IDs in ZK that were not in metadata table:  "" + tableIdsMustHaveSeen);
     }
   }
```",0.5833333333333334,0.8235294117647058,,
direct_fail_gold_location_fail,crn-000862,objective-c,You can use `#if TARGET_OS_SIMULATOR` so this bit of code doesn't get compiled into non-simulator target destination builds.," - (void)verifyClientAndSendVerificationCodeToPhoneNumber:(NSString *)phoneNumber
  */
 - (void)verifyClientWithUIDelegate:(nullable id<FIRAuthUIDelegate>)UIDelegate
                         completion:(FIRVerifyClientCallback)completion {
-  // Remove the simulator check below after FCM supports APNs in simulators
   if (@available(iOS 16, *)) {
-    if ([GULAppEnvironmentUtil isSimulator]) {
-      NSDictionary *environment = [[NSProcessInfo processInfo] environment];
-      if ((environment[@""XCTestConfigurationFilePath""] == nil)) {
-        [self reCAPTCHAFlowWithUIDelegate:UIDelegate completion:completion];
-        return;
-      }
     }
   }
   if (_auth.appCredentialManager.credential) {
     completion(_auth.appCredentialManager.credential, nil, nil);
     return;"," - (void)verifyClientAndSendVerificationCodeToPhoneNumber:(NSString *)phoneNumber
  */
 - (void)verifyClientWithUIDelegate:(nullable id<FIRAuthUIDelegate>)UIDelegate
                         completion:(FIRVerifyClientCallback)completion {
+// Remove the simulator check below after FCM supports APNs in simulators
+#if TARGET_OS_SIMULATOR
   if (@available(iOS 16, *)) {
+    NSDictionary *environment = [[NSProcessInfo processInfo] environment];
+    if ((environment[@""XCTestConfigurationFilePath""] == nil)) {
+      [self reCAPTCHAFlowWithUIDelegate:UIDelegate completion:completion];
+      return;
     }
   }
+#endif
+
   if (_auth.appCredentialManager.credential) {
     completion(_auth.appCredentialManager.credential, nil, nil);
     return;","```objective-c
 - (void)verifyClientAndSendVerificationCodeToPhoneNumber:(NSString *)phoneNumber
  */
 - (void)verifyClientWithUIDelegate:(nullable id<FIRAuthUIDelegate>)UIDelegate
                         completion:(FIRVerifyClientCallback)completion {
#if TARGET_OS_SIMULATOR
-  // Remove the simulator check below after FCM supports APNs in simulators
   if (@available(iOS 16, *)) {
-    if ([GULAppEnvironmentUtil isSimulator]) {
-      NSDictionary *environment = [[NSProcessInfo processInfo] environment];
-      if ((environment[@""XCTestConfigurationFilePath""] == nil)) {
-        [self reCAPTCHAFlowWithUIDelegate:UIDelegate completion:completion];
-        return;
-      }
     }
   }
#endif
   if (_auth.appCredentialManager.credential) {
     completion(_auth.appCredentialManager.credential, nil, nil);
     return;
```","```objective-c
 - (void)verifyClientAndSendVerificationCodeToPhoneNumber:(NSString *)phoneNumber
  */
 - (void)verifyClientWithUIDelegate:(nullable id<FIRAuthUIDelegate>)UIDelegate
                         completion:(FIRVerifyClientCallback)completion {
#if TARGET_OS_SIMULATOR
-  // Remove the simulator check below after FCM supports APNs in simulators
#endif
   if (@available(iOS 16, *)) {
#if TARGET_OS_SIMULATOR
-    if ([GULAppEnvironmentUtil isSimulator]) {
-      NSDictionary *environment = [[NSProcessInfo processInfo] environment];
-      if ((environment[@""XCTestConfigurationFilePath""] == nil)) {
-        [self reCAPTCHAFlowWithUIDelegate:UIDelegate completion:completion];
-        return;
-      }
#endif
     }
   }
#if TARGET_OS_SIMULATOR
#endif
   if (_auth.appCredentialManager.credential) {
     completion(_auth.appCredentialManager.credential, nil, nil);
     return;
```",0.2,0.46153846153846156,,
direct_fail_gold_location_fail,crn-006784,go,We should make this its own `ui.Output` since I don't think we intend to update this as we execute a pipeline. And I would like to preserve the message on 106 too," func (c *PipelineRunCommand) Run(args []string) int {
 		}
 
 		step.Update(""Pipeline %q has started running. Attempting to read job stream sequentially in order"", pipelineIdent)
-
-		steps := len(resp.JobMap)
-		step.Update(""%d steps detected, run sequence %d"", steps, resp.Sequence)
 		step.Done()
 
 		// Receive job ids from running pipeline, use job client to attach to job stream
 		// and stream here. First pass can be linear job streaming
 		successful := steps
 		for _, jobId := range resp.AllJobIds {
 			app.UI.Output(""Executing Step %q"", resp.JobMap[jobId].Step, terminal.WithHeaderStyle())
 			app.UI.Output(""Reading job stream (jobId: %s)..."", jobId, terminal.WithInfoStyle())
 			app.UI.Output("""")
 
-			result, err := jobstream.Stream(c.Ctx, jobId,
 				jobstream.WithClient(c.project.Client()),
 				jobstream.WithUI(app.UI))
 			if err != nil {
 				return err
 			}
 
-			var state pb.Status_State
-			if result.Build != nil {
-				state = result.Build.Build.Status.State
-			} else if result.Deploy != nil {
-				state = result.Deploy.Deployment.Status.State
-			} else if result.Release != nil {
-				state = result.Release.Release.Status.State
-			}
-			if state != pb.Status_SUCCESS {
 				successful--
 			}
 		}"," func (c *PipelineRunCommand) Run(args []string) int {
 		}
 
 		step.Update(""Pipeline %q has started running. Attempting to read job stream sequentially in order"", pipelineIdent)
 		step.Done()
 
 		// Receive job ids from running pipeline, use job client to attach to job stream
 		// and stream here. First pass can be linear job streaming
+		steps := len(resp.JobMap)
+		app.UI.Output(""%d steps detected, run sequence %d"", steps, resp.Sequence, terminal.WithHeaderStyle())
 		successful := steps
 		for _, jobId := range resp.AllJobIds {
 			app.UI.Output(""Executing Step %q"", resp.JobMap[jobId].Step, terminal.WithHeaderStyle())
 			app.UI.Output(""Reading job stream (jobId: %s)..."", jobId, terminal.WithInfoStyle())
 			app.UI.Output("""")
 
+			_, err := jobstream.Stream(c.Ctx, jobId,
 				jobstream.WithClient(c.project.Client()),
 				jobstream.WithUI(app.UI))
 			if err != nil {
 				return err
 			}
 
+			job, err := c.project.Client().GetJob(c.Ctx, &pb.GetJobRequest{
+				JobId: jobId,
+			})
+			if job.State != pb.Job_SUCCESS {
 				successful--
 			}
 		}","```go
 func (c *PipelineRunCommand) Run(args []string) int {
 		}
 
 		step.Update(""Pipeline %q has started running. Attempting to read job stream sequentially in order"", pipelineIdent)
-
-		steps := len(resp.JobMap)
-		step.Update(""%d steps detected, run sequence %d"", steps, resp.Sequence)
 		step.Done()
 
 		// Receive job ids from running pipeline, use job client to attach to job stream
 		// and stream here. First pass can be linear job streaming
 		successful := steps
 		for _, jobId := range resp.AllJobIds {
 			app.UI.Output(""Executing Step %q"", resp.JobMap[jobId].Step, terminal.WithHeaderStyle())
 			app.UI.Output(""Reading job stream (jobId: %s)..."", jobId, terminal.WithInfoStyle())
 			app.UI.Output("""")
 
-			result, err := jobstream.Stream(c.Ctx, jobId,
 				jobstream.WithClient(c.project.Client()),
 				jobstream.WithUI(app.UI))
 			if err != nil {
 				return err
 			}
 
-			var state pb.Status_State
-			if result.Build != nil {
-				state = result.Build.Build.Status.State
-			} else if result.Deploy != nil {
-				state = result.Deploy.Deployment.Status.State
-			} else if result.Release != nil {
-				state = result.Release.Release.Status.State
-			}
-			if state != pb.Status_SUCCESS {
 				successful--
 			}
 		}
```","```go
 func (c *PipelineRunCommand) Run(args []string) int {
 		}
 
 		step.Update(""Pipeline %q has started running. Attempting to read job stream sequentially in order"", pipelineIdent)
 		steps := len(resp.JobMap)
 		step.Update(""%d steps detected, run sequence %d"", steps, resp.Sequence)
 		step.Done()
 
 		// Receive job ids from running pipeline, use job client to attach to job stream
 		// and stream here. First pass can be linear job streaming
 		successful := steps
 		for _, jobId := range resp.AllJobIds {
 			app.UI.Output(""Executing Step %q"", resp.JobMap[jobId].Step, terminal.WithHeaderStyle())
 			app.UI.Output(""Reading job stream (jobId: %s)..."", jobId, terminal.WithInfoStyle())
 			app.UI.Output("""")
 
 			result, err := jobstream.Stream(c.Ctx, jobId,
 				jobstream.WithClient(c.project.Client()),
 				jobstream.WithUI(app.UI))
 			if err != nil {
 				return err
 			}
 
 			var state pb.Status_State
 			if result.Build != nil {
 				state = result.Build.Build.Status.State
 			} else if result.Deploy != nil {
 				state = result.Deploy.Deployment.Status.State
 			} else if result.Release != nil {
 				state = result.Release.Release.Status.State
 			}
 			if state != pb.Status_SUCCESS {
 				successful--
 			}
 		}
```",0.0,0.9629629629629629,,
direct_fail_gold_location_fail,crn-009549,sql,Shouldn't these migrations also affect DSRs?,"
  * the License.
  */
 
-ALTER TABLE public.deliveryservice 
 ADD COLUMN regional BOOLEAN NOT NULL DEFAULT FALSE;","
  * the License.
  */
 
+ALTER TABLE public.deliveryservice
 ADD COLUMN regional BOOLEAN NOT NULL DEFAULT FALSE;
+
+/* Set `regional` to `false` if it does not exist */
+UPDATE public.deliveryservice_request
+SET deliveryservice = deliveryservice || '{""regional"": false}'
+WHERE deliveryservice->>'regional' IS NULL;
+
+/* Set `regional` to `false` it does not exist and `original` is not null */
+UPDATE public.deliveryservice_request
+SET original = original || '{""regional"": false}'
+WHERE original IS NOT NULL
+AND original->>'regional' IS NULL;","```sql

  * the License.
  */
 
ALTER TABLE public.deliveryservice 
 ADD COLUMN regional BOOLEAN NOT NULL DEFAULT FALSE;

ALTER TABLE public.dsr 
 ADD COLUMN regional BOOLEAN NOT NULL DEFAULT FALSE;
```","```sql

  * the License.
  */
 
ALTER TABLE public.deliveryservice 
ADD COLUMN regional BOOLEAN NOT NULL DEFAULT FALSE;

ALTER TABLE public.dsr 
ADD COLUMN regional BOOLEAN NOT NULL DEFAULT FALSE;
<GOLD_INSERTION_POINT id=""2"" />
```",0.8,0.8,,
direct_fail_gold_location_fail,crn-011089,csharp,"```suggestion
                throw new EndOfStreamException($""NetworkReader.ReadString - Value too long: {realSize} bytes. Limit is: {NetworkWriter.MaxStringLength} bytes"");
```"," public static string ReadString(this NetworkReader reader)
             ushort realSize = (ushort)(size - 1);
 
             // make sure it's within limits to avoid allocation attacks etc.
-            // using >= to ensure 65535 fails and throws because we'll be adding +1 to written below.
-            if (realSize >= NetworkWriter.MaxStringLength)
-            {
-                throw new EndOfStreamException($""NetworkReader.ReadString - Value too long: {realSize} bytes. Limit is: {NetworkWriter.MaxStringLength - 1} bytes"");
-            }
 
             ArraySegment<byte> data = reader.ReadBytesSegment(realSize);
 "," public static string ReadString(this NetworkReader reader)
             ushort realSize = (ushort)(size - 1);
 
             // make sure it's within limits to avoid allocation attacks etc.
+            if (realSize > NetworkWriter.MaxStringLength)
+                throw new EndOfStreamException($""NetworkReader.ReadString - Value too long: {realSize} bytes. Limit is: {NetworkWriter.MaxStringLength} bytes"");
 
             ArraySegment<byte> data = reader.ReadBytesSegment(realSize);
 ","```csharp
 public static string ReadString(this NetworkReader reader)
 {
     ushort realSize = (ushort)(size - 1);

     // make sure it's within limits to avoid allocation attacks etc.
-    if (realSize >= NetworkWriter.MaxStringLength)
+    if (realSize > NetworkWriter.MaxStringLength)
     {
         throw new EndOfStreamException($""NetworkReader.ReadString - Value too long: {realSize} bytes. Limit is: {NetworkWriter.MaxStringLength} bytes"");
     }

     ArraySegment<byte> data = reader.ReadBytesSegment(realSize);
 }
```","```csharp
 public static string ReadString(this NetworkReader reader)
             ushort realSize = (ushort)(size - 1);
 
             // make sure it's within limits to avoid allocation attacks etc.
<GOLD_LOCATION_START id=""1"" tag=""replace"">
+            if (realSize > NetworkWriter.MaxStringLength)
+            {
+                throw new EndOfStreamException($""NetworkReader.ReadString - Value too long: {realSize} bytes. Limit is: {NetworkWriter.MaxStringLength} bytes"");
+            }
</GOLD_LOCATION_END id=""1"">
 
             ArraySegment<byte> data = reader.ReadBytesSegment(realSize);
 
```",0.625,1.0,,
direct_fail_gold_location_fail,crn-002686,r,Named arguments please. ," fit.model_spec <-
 
     if (length(possible_engines(object)) == 0) {
       prompt_missing_implementation(
-        class(object)[1],
-        object$engine,
-        object$user_specified_engine,
-        object$mode,
-        object$user_specified_mode,
-        cli::cli_abort,
         call = call2(""fit"")
       )
     }"," fit.model_spec <-
 
     if (length(possible_engines(object)) == 0) {
       prompt_missing_implementation(
+        cls = class(object)[1],
+        engine = object$engine,
+        user_specified_engine = object$user_specified_engine,
+        mode = object$mode,
+        user_specified_mode = object$user_specified_mode,
+        prompt = cli::cli_abort,
         call = call2(""fit"")
       )
     }","```r
 fit.model_spec <-
 
     if (length(possible_engines(object)) == 0) {
       prompt_missing_implementation(
         class = object[1],
         engine = object$engine,
         user_specified_engine = object$user_specified_engine,
         mode = object$mode,
         user_specified_mode = object$user_specified_mode,
         cli::cli_abort,
         call = call2(""fit"")
       )
     }
```","```r
 fit.model_spec <-
 
     if (length(possible_engines(object)) == 0) {
       prompt_missing_implementation(
         class = class(object)[1],
         engine = object$engine,
         user_specified_engine = object$user_specified_engine,
         mode = object$mode,
         user_specified_mode = object$user_specified_mode,
         cli::cli_abort,
         call = call2(""fit"")
       )
     }
```",1.0,1.0,,
direct_fail_gold_location_fail,crn-011391,go,"

I think you _do_ want (or at least it's ok) to create a new `err` here.  The outer `err` will get set because you return the inner `err` from the inner function. See other lookupAllResources for a similar example.

```suggestion
		// Cast to []byte to avoid interpretation as character string, see note in upsertKvPair
		rows, err := qs.lookupKeysByPrefixStmt.Query(len(prefix), []byte(prefix))
```"," func (qs *accountsDbQueries) lookupKeyValue(key string) (pv persistedValue, err
 
 func (qs *accountsDbQueries) lookupKeysByPrefix(prefix string, maxKeyNum uint64, results map[string]bool, resultCount uint64) (round basics.Round, err error) {
 	err = db.Retry(func() error {
-		var rows *sql.Rows
 		// Cast to []byte to avoid interpretation as character string, see note in upsertKvPair
-		rows, err = qs.lookupKeysByPrefixStmt.Query(len(prefix), []byte(prefix))
 		if err != nil {
 			return err
 		}"," func (qs *accountsDbQueries) lookupKeyValue(key string) (pv persistedValue, err
 
 func (qs *accountsDbQueries) lookupKeysByPrefix(prefix string, maxKeyNum uint64, results map[string]bool, resultCount uint64) (round basics.Round, err error) {
 	err = db.Retry(func() error {
 		// Cast to []byte to avoid interpretation as character string, see note in upsertKvPair
+		rows, err := qs.lookupKeysByPrefixStmt.Query(len(prefix), []byte(prefix))
 		if err != nil {
 			return err
 		}","```go
func (qs *accountsDbQueries) lookupKeyValue(key string) (pv persistedValue, err error) {
	err = db.Retry(func() error {
		var rows *sql.Rows
		// Cast to []byte to avoid interpretation as character string, see note in upsertKvPair
		rows, err = qs.lookupKeysByPrefixStmt.Query(len(prefix), []byte(prefix))
		if err != nil {
			return err
		}
```","```go
 func (qs *accountsDbQueries) lookupKeyValue(key string) (pv persistedValue, err

 func (qs *accountsDbQueries) lookupKeysByPrefix(prefix string, maxKeyNum uint64, results map[string]bool, resultCount uint64) (round basics.Round, err error) {
 	err = db.Retry(func() error {
 		var rows *sql.Rows
 		// Cast to []byte to avoid interpretation as character string, see note in upsertKvPair
 		rows, err = qs.lookupKeysByPrefixStmt.Query(len(prefix), []byte(prefix))
 		if err != nil {
 			return err
 		}
```",0.3333333333333333,0.8,,
direct_fail_gold_location_fail,crn-013905,kotlin,Are all those resources required to be patched?," import org.w3c.dom.Element
 class GeneralResourceAdsPatch : ResourcePatch {
     // list of resource file names which need to be hidden
     private val resourceFileNames = arrayOf(
-        ""compact_promoted_video_item.xml"",
-        ""inline_muted_metadata_swap.xml"",
-        ""interstitial_promo_view.xml"",
-        ""pip_ad_overlay.xml"",
-        ""promoted_"",
-        ""watch_metadata_companion_cards.xml"",
-        //""watch_while_activity.xml"" // FIXME: find out why patching this resource fails
     )
 
     // the attributes to change the value of"," import org.w3c.dom.Element
 class GeneralResourceAdsPatch : ResourcePatch {
     // list of resource file names which need to be hidden
     private val resourceFileNames = arrayOf(
+        ""compact_promoted_"",
+        ""promoted_video_"",
     )
 
     // the attributes to change the value of","```kotlin
import org.w3c.dom.Element
class GeneralResourceAdsPatch : ResourcePatch {
    // list of resource file names which need to be hidden
    private val resourceFileNames = arrayOf(
        ""compact_promoted_video_item.xml"",
        ""inline_muted_metadata_swap.xml"",
        ""interstitial_promo_view.xml"",
        ""pip_ad_overlay.xml"",
        ""promoted_"",
        ""watch_metadata_companion_cards.xml"",
        //""watch_while_activity.xml"" // FIXME: find out why patching this resource fails
    )
 
    // the attributes to change the value of
```","```kotlin
import org.w3c.dom.Element
class GeneralResourceAdsPatch : ResourcePatch {
    // list of resource file names which need to be hidden
    private val resourceFileNames = arrayOf(
        ""compact_promoted_video_item.xml"",
        ""inline_muted_metadata_swap.xml"",
        ""interstitial_promo_view.xml"",
        ""pip_ad_overlay.xml"",
        ""promoted_"",
        ""watch_metadata_companion_cards.xml"",
        //""watch_while_activity.xml"" // FIXME: find out why patching this resource fails
    )
 
    // the attributes to change the value of
```",0.7,0.7,,
direct_fail_gold_location_fail,crn-009395,c,This should probably be a static inline function.," PyCode_GetFreevars(PyCodeObject *code)
     return _PyCode_GetFreevars(code);
 }
 
-int
-_PyCode_GetNumFrameSlots(PyCodeObject *code)
-{
-    /* This function needs to remain in sync with the calculation of
-     * co_framesize  in Tools/build/deepfreeze.py */
-    assert(code->co_framesize >= FRAME_SPECIALS_SIZE);
-    return code->co_framesize - FRAME_SPECIALS_SIZE;
-}
-
 static void
 deopt_code(_Py_CODEUNIT *instructions, Py_ssize_t len)
 {"," PyCode_GetFreevars(PyCodeObject *code)
     return _PyCode_GetFreevars(code);
 }
 
 static void
 deopt_code(_Py_CODEUNIT *instructions, Py_ssize_t len)
 {","```c
static inline int
_PyCode_GetNumFrameSlots(PyCodeObject *code)
{
    /* This function needs to remain in sync with the calculation of
     * co_framesize  in Tools/build/deepfreeze.py */
    assert(code->co_framesize >= FRAME_SPECIALS_SIZE);
    return code->co_framesize - FRAME_SPECIALS_SIZE;
}
```","```c
static inline int
_PyCode_GetNumFrameSlots(PyCodeObject *code)
{
    /* This function needs to remain in sync with the calculation of
     * co_framesize  in Tools/build/deepfreeze.py */
    assert(code->co_framesize >= FRAME_SPECIALS_SIZE);
    return code->co_framesize - FRAME_SPECIALS_SIZE;
}
```",0.72,0.72,,
direct_fail_gold_location_fail,crn-009360,c,"Unlike `isdir()`, for `isfile()` you need to check whether `GetFileInformationByHandleEx()` succeeds. It's a filesystem file/directory if the call succeeds. For example, ""\\\\.\\PIPE\\"" is the root directory of the named-pipe filesystem. OTOH, ""\\\\.\\C:"" is a volume a device, which doesn't support filesystem information classes such as `FileBasicInfo`.
"," os__isfile_impl(PyObject *module, PyObject *path)
                             OPEN_EXISTING, FILE_FLAG_BACKUP_SEMANTICS, NULL);
     }
     if (hfile != INVALID_HANDLE_VALUE) {
-        GetFileInformationByHandleEx(hfile, FileBasicInfo, &info, sizeof(info));
-        result = !(info.FileAttributes & FILE_ATTRIBUTE_DIRECTORY);
-        if (result) {
-            fileType = GetFileType(hfile);
-            if (fileType != FILE_TYPE_DISK) {
-                result = 0;
-            }
         }
         if (close_file) {
             CloseHandle(hfile);"," os__isfile_impl(PyObject *module, PyObject *path)
                             OPEN_EXISTING, FILE_FLAG_BACKUP_SEMANTICS, NULL);
     }
     if (hfile != INVALID_HANDLE_VALUE) {
+        if (GetFileInformationByHandleEx(hfile, FileBasicInfo, &info, sizeof(info))) {
+            result = !(info.FileAttributes & FILE_ATTRIBUTE_DIRECTORY);
+        } else {
+            result = 0;
         }
         if (close_file) {
             CloseHandle(hfile);","```c
 os__isfile_impl(PyObject *module, PyObject *path)
                             OPEN_EXISTING, FILE_FLAG_BACKUP_SEMANTICS, NULL);
     }
     if (hfile != INVALID_HANDLE_VALUE) {
         if (GetFileInformationByHandleEx(hfile, FileBasicInfo, &info, sizeof(info))) {
             result = !(info.FileAttributes & FILE_ATTRIBUTE_DIRECTORY);
             if (result) {
                 fileType = GetFileType(hfile);
                 if (fileType != FILE_TYPE_DISK) {
                     result = 0;
                 }
             }
         } else {
             result = 0;
         }
         if (close_file) {
             CloseHandle(hfile);
```","```c
 os__isfile_impl(PyObject *module, PyObject *path)
                             OPEN_EXISTING, FILE_FLAG_BACKUP_SEMANTICS, NULL);
     }
     if (hfile != INVALID_HANDLE_VALUE) {
         if (GetFileInformationByHandleEx(hfile, FileBasicInfo, &info, sizeof(info))) {
             result = !(info.FileAttributes & FILE_ATTRIBUTE_DIRECTORY);
             if (result) {
                 fileType = GetFileType(hfile);
                 if (fileType != FILE_TYPE_DISK) {
                     result = 0;
                 }
         }
     }
         if (close_file) {
             CloseHandle(hfile);
```",1.0,0.9333333333333333,,
